inputFile,proc_name,kernel_entry,kernel_Time,PGFLT_Count,PGFLT_Minor,PGFLT_Major,PGFLT_Time,PGFLT_Minor_Time,PGFLT_Major_Time,BRK_Count,BRK_Time,MMAP_count,MMAP_Time,Mremap_count,Mremap_Time,Total_Time,O0,O1,O2,O3,O4,O5,O6,O7,O8,O9,Total_Kernel_Allocation,Total_User_Allocation
./sparkExamples/SimpleSkewedGroupByTest.log,java,249643,692273486,241313,241230,0,653749202,656465107,0,30,18497,8311,35380808,0,0,709748496,245636,37,1,233,0,0,0,0,0,2999,7303438336,154048689105
./sparkExamples/SparkTC.log,java,1170689,3959550269,1151696,1150839,0,3833705288,3830828418,0,30,20854,18839,116652676,0,0,4041498499,1338831,2848,1076,31514,0,0,0,0,0,13566,35007426560,164742641448
./sparkExamples/ml.RandomForestExample.log,java,12074,67701262,11277,11277,0,66120897,66128364,0,6,2116,791,1570782,0,0,68546442,10852,0,0,0,0,0,0,0,0,126,308690944,9667497799
./sparkExamples/ml.SimpleTextClassificationPipeline.log,java,308044,834969095,299684,299617,0,799399019,803180826,0,30,21505,8299,31449187,0,0,856532175,274358,13,0,203,0,0,0,0,0,3354,8164376576,152356365491
./sparkExamples/ml.ChiSqSelectorExample.log,java,338831,1121289205,330090,330015,0,1084234638,1087345461,0,30,18125,8667,33588484,0,0,1145007375,306586,89,5,219,0,0,0,0,0,3468,8536686592,146605701537
./sparkExamples/ml.PolynomialExpansionExample.log,java,186968,427271113,180212,180180,0,404170954,406894010,0,30,21975,6702,20208026,0,0,440358873,172374,5,0,117,0,0,0,0,0,1156,3134226432,135386121020
./sparkExamples/ml.TokenizerExample.log,java,186275,466886757,179430,179395,0,444245792,446835707,0,30,16432,6724,19866990,0,0,479926007,172071,45,0,128,0,0,0,0,0,1219,3265794048,136010139416
./sparkExamples/ml.StopWordsRemoverExample.log,java,185105,441622155,178334,178301,0,418255894,420854111,0,30,19149,6711,20575395,0,0,454579505,170765,4,0,120,0,0,0,0,0,1160,3136114688,136062695192
./sparkExamples/ml.LogisticRegressionSummaryExample.log,java,459474,1458501779,450420,450337,0,1416437652,1419942538,0,30,14938,9001,38154150,0,0,1490664959,410764,40,0,269,0,0,0,0,0,5668,13578289152,152988589478
./sparkExamples/ml.ModelSelectionViaCrossValidationExample.log,java,720893,2254795642,711203,710920,0,2200296755,2203687419,0,30,16020,9575,49341490,0,0,2305258152,566385,136,0,367,0,0,0,0,0,8030,19173183488,155797555532
./sparkExamples/ml.BinarizerExample.log,java,195992,452371243,189249,189215,0,429431623,432843107,0,30,15097,6700,19364629,0,0,466090683,181096,20,0,101,0,0,0,0,0,1150,3156967424,134112028440
./sparkExamples/ml.GradientBoostedTreeRegressorExample.log,java,652860,2099208897,643023,642853,0,2055003101,2058548760,0,30,21651,9722,40015926,0,0,2144909097,584935,44,4,358,0,0,0,0,0,6699,16456871936,155808438973
./sparkExamples/ml.StringIndexerExample.log,java,279231,789557596,271010,270934,0,755112376,758269297,0,30,16224,8183,30957336,0,0,809103766,266796,65,1,214,0,0,0,0,0,3175,7758815232,147800260931
./sparkExamples/ml.PipelineExample.log,java,524068,1583023215,514158,514049,0,1538400477,1542152884,0,30,21725,9820,40301509,0,0,1619707975,456451,70,4,295,0,0,0,0,0,6256,14999711744,157500401595
./sparkExamples/sql.SparkSQLExample.log,java,121090,298250738,115420,115398,0,280771136,283558035,0,30,18339,5627,14573884,0,0,306727038,112997,47,0,27,0,0,0,0,0,845,2236198912,105410216046
./sparkExamples/SparkKMeans.log,java,10387,29103904,9596,9596,0,27507167,27509439,0,6,2452,786,1592013,0,0,29830994,9169,0,0,0,0,0,0,0,0,38,117248000,10003010591
./sparkExamples/ml.GaussianMixtureExample.log,java,329040,903156514,320388,320300,0,865258872,868345987,0,30,13088,8570,34344231,0,0,926189314,295458,33,2,206,0,0,0,0,0,3616,8800550912,153687219206
./sparkExamples/ml.DecisionTreeExample.log,java,11881,67419953,11084,11084,0,65918780,65921310,0,6,2255,791,1496388,0,0,68251623,10677,0,0,0,0,0,0,0,0,126,307974144,10472804167
./sparkExamples/graphx.ConnectedComponentsExample.log,java,314046,950680629,305242,305139,0,908461365,911830435,0,30,15032,8736,38267096,0,0,972663849,308325,86,4,278,0,0,0,0,0,4490,10688991232,158149511042
./sparkExamples/ml.GradientBoostedTreeClassifierExample.log,java,800784,2200765255,790698,790498,0,2152152625,2156128310,0,30,17767,9985,43798631,0,0,2256820135,641407,37,10,423,0,0,0,0,0,7634,18651189248,155227964838
./sparkExamples/ml.PCAExample.log,java,327194,1026199885,318488,318416,0,989884598,993360367,0,30,18117,8650,32506200,0,0,1049103465,300949,18,0,212,0,0,0,0,0,3828,9267679232,152984294233
./sparkExamples/ml.GeneralizedLinearRegressionExample.log,java,529814,1578466804,520410,520310,0,1535705232,1539260810,0,30,24542,9355,38709008,0,0,1615553784,464351,13,2,254,0,0,0,0,0,5699,13862113280,155107764804
./sparkExamples/SparkHdfsLR.log,java,10507,29359826,9715,9715,0,27920635,27907259,0,6,1967,786,1450600,0,0,30095316,9277,0,0,0,0,0,0,0,0,38,117690368,10003067935
./sparkExamples/DFSReadWriteTest.log,java,10528,30889967,9736,9736,0,29304786,29305425,0,6,2699,786,1581843,0,0,31626927,9294,0,0,0,0,0,0,0,0,37,115662848,10405721119
./sparkExamples/ml.VectorSlicerExample.log,java,187433,456150325,180630,180593,0,432919746,435557471,0,30,18503,6711,20382263,0,0,469270635,174211,71,0,140,0,0,0,0,0,1172,3176599552,135455725336
./sparkExamples/ml.SQLTransformerExample.log,java,198309,470655641,191472,191438,0,443552896,447073488,0,30,18922,6730,23405585,0,0,484537271,183017,3,0,98,0,0,0,0,0,1242,3357536256,135347664664
./Results.log,java,789789,3008320749,771534,771122,0,2891372040,2898010802,0,32,32845,17886,105307123,0,0,3063605979,1042467,348,580,170631,0,0,0,0,0,11830,34682843136,184696116976
./Results.log,python,6044058,9616611976,5898669,5898669,0,9040221212,9229050896,0,3569,15455186,136581,371893798,12,212096,10039696036,5446864,440,7,73035,0,0,0,0,0,971,26743619584,23027470756
./Results.log,java,801301,2868647375,783343,782949,0,2755705933,2760335385,0,30,21082,17571,101951059,0,0,2924738445,1043913,188,525,173923,0,0,0,0,0,9239,29360705536,179564420038
./Results.log,python,7995722,12746928601,7826005,7826005,0,12136106312,12275877835,0,3860,15588374,163521,455254734,13,207658,13306629141,7361760,342,1,66787,0,0,0,0,0,993,34427535360,29400842660
./Results.log,java,547226,2611730820,537347,537222,1,2568192198,2568261139,49953,518,3309997,9366,39652726,0,0,2650036640,533108,858,132,2988,0,0,0,0,0,5390,13594361856,91799163069
./Results.log,java,359943,1897846829,352338,352242,0,1863586362,1863496692,0,610,4823726,6997,29169701,0,0,1923042839,356053,797,109,2110,0,0,0,0,0,4064,10058674176,72548354137
./Results.log,java,551599,2372281520,541320,541189,1,2329698188,2329383515,54363,905,5701156,9392,36648473,0,0,2410893450,559938,1104,228,3364,0,0,0,0,0,4737,12350726144,86355472421
./Results.log,java,357268,1820992737,349618,349515,0,1785170960,1784889860,0,661,4145757,6991,31524870,0,0,1846001497,368508,585,110,2168,0,0,0,0,0,3956,9883377664,72061995097
./Results.log,java,555184,1547244499,544693,544541,0,1498012031,1501861058,0,36,18340,10315,44722066,0,0,1586107379,498678,75,0,250,0,0,0,0,0,5011,12560220160,167876489922
./Results.log,java,538656,1612531458,528121,527986,0,1561761601,1565318769,0,37,28655,10377,46483436,0,0,1650237378,487346,71,0,259,0,0,0,0,0,5031,12556009472,168497801696
./Results.log,java,559913,1529704678,549412,549275,0,1477859030,1482295154,0,36,22077,10352,46855822,0,0,1568898588,508158,45,0,260,0,0,0,0,0,4832,12223741952,168052466010
./Results.log,java,549179,1553605161,538762,538650,0,1502545551,1505904166,0,36,32561,10287,47277676,0,0,1592047691,497943,61,0,256,0,0,0,0,0,4966,12462919680,165876343490
./Results.log,java,566537,1663821827,555744,555577,0,1611618167,1615416498,0,36,20386,10673,47576677,0,0,1703479417,515880,29,0,291,0,0,0,0,0,5713,14103846912,171470864811
./Results.log,java,565654,1651302065,555065,554900,0,1598502840,1602187562,0,36,17937,10497,48308139,0,0,1690897845,522445,54,0,252,0,0,0,0,0,5233,13123031040,169329968249
